epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,22565.1,1.24515,0.76131,1.0255,0.73524,0.70822,0.75951,0.39223,1.47393,0.93088,1.15701,7.465e-05,7.465e-05,7.465e-05
41,23123.4,1.23251,0.75745,1.01492,0.74579,0.69742,0.75434,0.3885,1.47131,0.94335,1.15079,7.4e-05,7.4e-05,7.4e-05
42,23709.2,1.23321,0.74533,1.02237,0.73784,0.70055,0.75962,0.39457,1.46894,0.93304,1.15488,7.335e-05,7.335e-05,7.335e-05
43,24301.7,1.22734,0.74724,1.01565,0.74013,0.70725,0.76363,0.38744,1.47569,0.93191,1.16103,7.27e-05,7.27e-05,7.27e-05
44,24914.3,1.21938,0.73688,1.01756,0.72978,0.71695,0.75925,0.3907,1.47881,0.93319,1.17099,7.205e-05,7.205e-05,7.205e-05
45,25526,1.21545,0.7322,1.01717,0.73766,0.70633,0.75796,0.39075,1.47187,0.93937,1.16329,7.14e-05,7.14e-05,7.14e-05
46,26117.4,1.19584,0.72579,1.01159,0.72618,0.71198,0.75502,0.39111,1.47722,0.93629,1.17223,7.075e-05,7.075e-05,7.075e-05
47,26698.3,1.19656,0.71925,1.01108,0.73178,0.70985,0.75578,0.39031,1.4844,0.93415,1.1703,7.01e-05,7.01e-05,7.01e-05
48,27301.3,1.1858,0.70821,1.00893,0.72932,0.71457,0.75515,0.38818,1.48133,0.93453,1.17427,6.945e-05,6.945e-05,6.945e-05
49,27912.4,1.20052,0.71827,1.01106,0.74356,0.70723,0.75683,0.39093,1.47976,0.94242,1.16197,6.88e-05,6.88e-05,6.88e-05
50,28506.2,1.1909,0.70422,1.0024,0.74691,0.70399,0.75745,0.38652,1.49169,0.94991,1.17013,6.815e-05,6.815e-05,6.815e-05
51,29116.1,1.19111,0.698,1.00582,0.7344,0.70693,0.75445,0.3886,1.50026,0.94297,1.17501,6.75e-05,6.75e-05,6.75e-05
52,29715.8,1.17339,0.69311,1.006,0.71665,0.71214,0.74459,0.38394,1.48957,0.94942,1.17008,6.685e-05,6.685e-05,6.685e-05
53,30285,1.17,0.6839,0.99743,0.73937,0.70413,0.75291,0.38664,1.49267,0.94159,1.17235,6.62e-05,6.62e-05,6.62e-05
54,30880.9,1.16273,0.67512,0.99218,0.73069,0.71551,0.75292,0.38325,1.50994,0.9419,1.18137,6.555e-05,6.555e-05,6.555e-05
55,31470.1,1.16581,0.67359,0.99183,0.73503,0.70571,0.75282,0.38653,1.49855,0.94216,1.17922,6.49e-05,6.49e-05,6.49e-05
56,32105.7,1.1569,0.66846,0.99092,0.75134,0.70121,0.75281,0.38613,1.50319,0.94488,1.17942,6.425e-05,6.425e-05,6.425e-05
57,32677.4,1.14878,0.66517,0.99028,0.72854,0.71489,0.74664,0.38449,1.50174,0.94374,1.18547,6.36e-05,6.36e-05,6.36e-05
58,33235.3,1.14216,0.65934,0.98723,0.73981,0.71344,0.74975,0.38392,1.50686,0.95204,1.1893,6.295e-05,6.295e-05,6.295e-05
59,33822.5,1.13101,0.64563,0.98541,0.73372,0.72103,0.75204,0.38623,1.50507,0.9495,1.18609,6.23e-05,6.23e-05,6.23e-05
60,34400.5,1.12639,0.64448,0.9822,0.73587,0.72176,0.7538,0.38612,1.51616,0.94963,1.19791,6.165e-05,6.165e-05,6.165e-05
61,34945,1.12944,0.64279,0.98014,0.7352,0.71756,0.75578,0.38613,1.5129,0.93859,1.19276,6.1e-05,6.1e-05,6.1e-05
62,35503,1.12814,0.63643,0.98208,0.72889,0.71637,0.75209,0.38212,1.51537,0.95083,1.19493,6.035e-05,6.035e-05,6.035e-05
63,36054.5,1.1207,0.6265,0.97487,0.74107,0.71296,0.7574,0.38562,1.52692,0.93878,1.20335,5.97e-05,5.97e-05,5.97e-05
64,36620,1.11595,0.62923,0.97548,0.74831,0.70757,0.75751,0.38423,1.53198,0.93561,1.20417,5.905e-05,5.905e-05,5.905e-05
65,37247.9,1.0987,0.61827,0.97183,0.73019,0.71396,0.7512,0.3818,1.53638,0.94545,1.21264,5.84e-05,5.84e-05,5.84e-05
66,37903.1,1.10155,0.60882,0.96978,0.74189,0.71189,0.75655,0.38417,1.54312,0.94579,1.21862,5.775e-05,5.775e-05,5.775e-05
67,38512.8,1.09292,0.60456,0.96578,0.73912,0.70864,0.75236,0.38194,1.53478,0.95334,1.21518,5.71e-05,5.71e-05,5.71e-05
68,39109.3,1.08594,0.60733,0.96735,0.74813,0.70961,0.75308,0.38274,1.53791,0.95311,1.21305,5.645e-05,5.645e-05,5.645e-05
69,39721.9,1.07419,0.5936,0.95934,0.73759,0.71674,0.75476,0.38287,1.53294,0.96036,1.21282,5.58e-05,5.58e-05,5.58e-05
70,40321.7,1.07074,0.5856,0.95869,0.73731,0.71385,0.74675,0.37935,1.53366,0.95796,1.21683,5.515e-05,5.515e-05,5.515e-05
71,40924,1.09799,0.60034,0.97344,0.75072,0.70573,0.74996,0.37874,1.54102,0.96105,1.2161,5.45e-05,5.45e-05,5.45e-05
72,41505.5,1.08115,0.58332,0.96685,0.75194,0.71281,0.75048,0.37781,1.55081,0.95558,1.23015,5.385e-05,5.385e-05,5.385e-05
73,42091.1,1.07721,0.58593,0.96652,0.73594,0.70491,0.74594,0.37456,1.54913,0.95958,1.2263,5.32e-05,5.32e-05,5.32e-05
74,42646.7,1.07232,0.57957,0.96432,0.7225,0.71512,0.7448,0.37431,1.55265,0.96258,1.23085,5.255e-05,5.255e-05,5.255e-05
75,43160.2,1.06841,0.57794,0.95904,0.73403,0.70698,0.74477,0.37587,1.54188,0.97308,1.22256,5.19e-05,5.19e-05,5.19e-05
76,43679,1.05784,0.56434,0.95924,0.75083,0.69365,0.74323,0.37598,1.54224,0.97114,1.22637,5.125e-05,5.125e-05,5.125e-05
77,44193.9,1.05709,0.56244,0.96187,0.74349,0.70405,0.74294,0.37326,1.55466,0.97664,1.23357,5.06e-05,5.06e-05,5.06e-05
78,44708.4,1.04956,0.55974,0.95572,0.75637,0.69598,0.7426,0.37491,1.55155,0.9718,1.2325,4.995e-05,4.995e-05,4.995e-05
79,45223.2,1.05126,0.56006,0.96016,0.74722,0.70017,0.74512,0.37425,1.55575,0.97483,1.23606,4.93e-05,4.93e-05,4.93e-05
80,45737.9,1.04452,0.5571,0.95549,0.74853,0.69811,0.74415,0.37467,1.55118,0.97608,1.23207,4.865e-05,4.865e-05,4.865e-05
