epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,21154.8,1.46922,0.94576,0.00334,0.73717,0.67946,0.75165,0.4041,1.53565,1.07659,0.00527,7.426e-05,7.426e-05,7.426e-05
41,21670.2,1.46457,0.93862,0.0033,0.74611,0.6695,0.75169,0.40394,1.53444,1.07946,0.00529,7.36e-05,7.36e-05,7.36e-05
42,22239.6,1.45267,0.92095,0.00331,0.73166,0.68489,0.74703,0.40291,1.53595,1.09178,0.00527,7.294e-05,7.294e-05,7.294e-05
43,22827.6,1.46136,0.92621,0.00329,0.72512,0.6913,0.74997,0.40023,1.53944,1.088,0.0053,7.228e-05,7.228e-05,7.228e-05
44,23473.6,1.44873,0.91392,0.00328,0.73823,0.67609,0.75251,0.40378,1.54048,1.08498,0.00535,7.162e-05,7.162e-05,7.162e-05
45,24126.3,1.44589,0.9107,0.0033,0.74308,0.68009,0.75477,0.40607,1.53249,1.07314,0.00524,7.096e-05,7.096e-05,7.096e-05
46,24765.4,1.43258,0.90513,0.00325,0.75807,0.67917,0.75715,0.40653,1.53671,1.07531,0.00529,7.03e-05,7.03e-05,7.03e-05
47,25375.4,1.43102,0.89409,0.00327,0.7231,0.69863,0.75476,0.4033,1.54242,1.07795,0.00529,6.964e-05,6.964e-05,6.964e-05
48,25994.2,1.42774,0.88346,0.00321,0.7244,0.6888,0.74831,0.40281,1.53907,1.08389,0.00529,6.898e-05,6.898e-05,6.898e-05
49,26598,1.43273,0.89037,0.00327,0.73909,0.68482,0.75422,0.40361,1.54033,1.06976,0.00531,6.832e-05,6.832e-05,6.832e-05
50,27216.9,1.43453,0.88275,0.00323,0.73401,0.69631,0.75268,0.40384,1.53723,1.08409,0.0053,6.766e-05,6.766e-05,6.766e-05
51,27828.6,1.436,0.87735,0.00324,0.7393,0.68855,0.75411,0.40609,1.53547,1.06855,0.0053,6.7e-05,6.7e-05,6.7e-05
52,28422.3,1.4105,0.87659,0.00324,0.74077,0.68512,0.75355,0.40685,1.53231,1.08665,0.00525,6.634e-05,6.634e-05,6.634e-05
53,29005.2,1.41283,0.85699,0.00318,0.73607,0.69919,0.75723,0.40824,1.54656,1.06129,0.00532,6.568e-05,6.568e-05,6.568e-05
54,29582.3,1.40539,0.84933,0.00316,0.71017,0.70542,0.74852,0.40073,1.54552,1.09348,0.00532,6.502e-05,6.502e-05,6.502e-05
55,30155.3,1.41137,0.85525,0.00319,0.74599,0.68812,0.75576,0.40237,1.54441,1.08033,0.00533,6.436e-05,6.436e-05,6.436e-05
56,30763,1.40125,0.84615,0.00315,0.73748,0.70386,0.75846,0.40161,1.55235,1.09028,0.00534,6.37e-05,6.37e-05,6.37e-05
57,31416.3,1.40118,0.83702,0.00314,0.74626,0.68657,0.75046,0.40361,1.54544,1.08416,0.0053,6.304e-05,6.304e-05,6.304e-05
58,32060.8,1.39436,0.83778,0.00312,0.7363,0.70459,0.75514,0.40391,1.54421,1.08727,0.00528,6.238e-05,6.238e-05,6.238e-05
59,32676.7,1.38607,0.81985,0.0031,0.74066,0.68451,0.75003,0.39945,1.55133,1.1003,0.0053,6.172e-05,6.172e-05,6.172e-05
60,33258.7,1.38668,0.81891,0.00311,0.73039,0.70627,0.75197,0.39969,1.55015,1.09525,0.00532,6.106e-05,6.106e-05,6.106e-05
61,33839.4,1.38488,0.81807,0.00308,0.71776,0.71073,0.75548,0.40059,1.55191,1.09259,0.00532,6.04e-05,6.04e-05,6.04e-05
62,34418.3,1.3827,0.79858,0.00309,0.73328,0.71,0.75485,0.40006,1.55349,1.08915,0.00536,5.974e-05,5.974e-05,5.974e-05
63,35032.4,1.38565,0.80319,0.00305,0.72519,0.6957,0.74766,0.39838,1.55653,1.10297,0.00537,5.908e-05,5.908e-05,5.908e-05
64,35584.5,1.37286,0.79916,0.00306,0.73792,0.69157,0.75135,0.39539,1.56239,1.09695,0.00539,5.842e-05,5.842e-05,5.842e-05
