epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,17793.6,0.52652,0.50729,0.09318,0.72817,0.71042,0.74721,0.37984,0.53738,0.55167,0.11867,7.426e-05,7.426e-05,7.426e-05
41,18236.8,0.52795,0.50521,0.09328,0.72092,0.70368,0.73775,0.375,0.54256,0.55042,0.12249,7.36e-05,7.36e-05,7.36e-05
42,18679.7,0.52141,0.50007,0.09292,0.72893,0.70528,0.74377,0.38028,0.53509,0.55083,0.1202,7.294e-05,7.294e-05,7.294e-05
43,19123.2,0.52946,0.49784,0.09258,0.72078,0.7024,0.74173,0.38005,0.5387,0.55376,0.1214,7.228e-05,7.228e-05,7.228e-05
44,19566.4,0.52189,0.50374,0.09268,0.73393,0.70803,0.74762,0.38081,0.53493,0.55212,0.12119,7.162e-05,7.162e-05,7.162e-05
45,20009.5,0.52141,0.49992,0.09354,0.73139,0.70251,0.74691,0.38101,0.53377,0.54922,0.11858,7.096e-05,7.096e-05,7.096e-05
46,20452.5,0.51421,0.50194,0.09146,0.74139,0.70511,0.75203,0.38166,0.5359,0.54934,0.11972,7.03e-05,7.03e-05,7.03e-05
47,20896.1,0.51554,0.498,0.09222,0.7343,0.70292,0.74652,0.38127,0.53507,0.55272,0.12,6.964e-05,6.964e-05,6.964e-05
48,21338.7,0.50846,0.4943,0.08928,0.73676,0.69881,0.74762,0.38205,0.53582,0.55562,0.12149,6.898e-05,6.898e-05,6.898e-05
49,21781.6,0.51512,0.49568,0.09183,0.74354,0.70558,0.75613,0.38651,0.53522,0.55308,0.1214,6.832e-05,6.832e-05,6.832e-05
50,22225.2,0.51973,0.49272,0.09248,0.73573,0.70656,0.75324,0.38559,0.53577,0.54959,0.12173,6.766e-05,6.766e-05,6.766e-05
51,22668.4,0.5186,0.49656,0.09236,0.73051,0.70875,0.74641,0.38364,0.53473,0.55331,0.11932,6.7e-05,6.7e-05,6.7e-05
52,23111.1,0.50749,0.49268,0.09074,0.7239,0.70765,0.74438,0.38128,0.53653,0.5502,0.12019,6.634e-05,6.634e-05,6.634e-05
53,23553.9,0.50672,0.4909,0.0891,0.72751,0.71658,0.75385,0.38257,0.53538,0.55365,0.12032,6.568e-05,6.568e-05,6.568e-05
54,23996.7,0.50228,0.48693,0.08885,0.72825,0.71971,0.75093,0.38113,0.53829,0.55132,0.12126,6.502e-05,6.502e-05,6.502e-05
55,24439.4,0.50547,0.49068,0.08808,0.72406,0.72355,0.7544,0.3867,0.53402,0.54678,0.12039,6.436e-05,6.436e-05,6.436e-05
56,24881.9,0.50211,0.48755,0.08888,0.72623,0.7215,0.7523,0.38447,0.53355,0.55558,0.12034,6.37e-05,6.37e-05,6.37e-05
57,25325,0.49816,0.48992,0.08623,0.73542,0.707,0.75319,0.38397,0.53496,0.55453,0.11891,6.304e-05,6.304e-05,6.304e-05
